
====================================================================================================
短期队 (24 个)
====================================================================================================
策略                        币种       周期       总PnL      OOS   OOS胜率    翻倍率          d2d          maxDD    笔数
----------------------------------------------------------------------------------------------------
pivot_points              XRP      30m     +49.1R    +19.9R     36%   100%     781~3094     22.4~47.9%  3197
fvg                       AVAX     30m     +49.0R     +5.8R     47%   100%     392~2179     22.9~48.1%  2221
matriple                  XRP      30m     +48.8R    +20.9R     35%   100%     607~2752     20.1~45.9%  2785
macross_slow              XRP      30m     +48.8R    +22.5R     36%   100%     627~3116     20.9~46.7%  3197
macross_slow              ADA      30m     +47.7R     +1.2R     34%   100%     679~3050     19.0~48.3%  3116
zscore                    LINK     30m     +46.4R    +21.4R     65%   100%     373~1574     20.7~43.3%  1619
momentum_slope            XRP      30m     +46.2R    +21.4R     30%   100%     315~1889     22.3~48.6%  1892
williams_fast             ADA      30m     +45.3R     +7.2R     60%   100%     900~4841     21.8~46.7%  4944
williams_fast             AVAX     30m     +44.0R     +1.2R     60%   100%    1076~3644     19.9~45.8%  3681
matriple                  AVAX     30m     +43.6R     +4.4R     36%   100%     421~1858     21.6~43.6%  1866
renko                     XRP      30m     +43.4R     +1.6R     41%   100%      122~532     20.9~45.3%   533
pivot_points              ADA      30m     +41.5R     +0.4R     34%    93%     803~3120     21.1~47.9%  3134
matriple                  ADA      30m     +41.4R     +1.8R     34%    94%     904~2753     21.4~46.0%  2757
advanced_kline_echo       ADA      30m     +40.5R     +4.2R     35%    89%     865~3273     20.8~47.6%  3317
mean_reversion            SOL      30m     +40.2R     +0.8R     49%    81%      169~614     20.2~44.2%   616
order_block               AVAX     30m     +39.5R     +8.0R     62%    73%     824~3523     23.0~47.8%  3570
macross_slow              AVAX     30m     +39.3R     +2.2R     36%    76%     411~2109     22.3~42.9%  2122
macross_slow              LINK     30m     +39.2R     +8.7R     37%    71%     721~2729     20.9~54.5%  2766
mean_reversion            XRP      30m     +38.9R     +6.4R     51%    82%      178~510     21.6~47.7%   512
matriple                  ETH      30m     +37.8R     +4.7R     34%    73%     917~2768     17.1~39.0%  2813
williams_fast             LINK     30m     +37.7R    +16.3R     63%    60%     849~4691     24.3~52.8%  4809
macross_slow              ETH      30m     +37.2R     +1.2R     34%    70%     907~3149     19.6~39.2%  3171
momentum_slope            ADA      30m     +36.6R     +3.6R     31%    54%     302~1741     25.0~53.6%  1827
atr_breakout_2yi          ETH      30m     +36.4R     +2.3R     36%    57%     835~2496     17.2~46.7%  2557

====================================================================================================
中期队 (196 个)
====================================================================================================
策略                        币种       周期       总PnL      OOS   OOS胜率    翻倍率          d2d          maxDD    笔数
----------------------------------------------------------------------------------------------------
trix                      SOL      4h     +279.3R     +2.3R     33%   100%         2~61     15.3~40.2%    73
momentum_slope            BNB      4h     +197.1R     +0.1R     32%   100%        8~205     13.1~29.6%   220
trix                      AVAX     4h     +145.5R     +9.2R     43%   100%         2~59     11.4~25.9%    67
keltner                   SOL      2h     +118.7R     +5.8R     40%   100%        8~216     15.0~36.5%   263
bb_squeeze_2yi            AVAX     4h     +113.0R     +9.7R     43%   100%       11~114     11.2~28.9%   150
donchian_echo             BNB      4h     +106.7R     +2.1R     39%   100%       21~444     13.9~32.1%   540
macross_slow              XRP      4h     +101.9R    +30.7R     40%   100%       41~259     13.3~30.0%   388
keltner                   ADA      4h      +95.6R    +17.0R     46%   100%       23~139     11.4~38.0%   193
coppock                   AVAX     4h      +92.4R     +2.0R     41%   100%       28~429     15.5~34.8%   543
matriple                  XRP      4h      +92.4R    +28.1R     37%   100%       31~278     13.5~30.9%   339
atr_breakout_2yi          AVAX     4h      +92.2R     +6.0R     40%   100%       42~152     11.6~33.4%   209
atr_breakout              AVAX     4h      +89.0R     +8.4R     39%   100%       19~181     14.5~34.3%   230
adx                       AVAX     4h      +88.6R     +6.2R     39%   100%       35~233     12.9~32.3%   291
trix                      ADA      4h      +88.3R    +24.6R     37%   100%        13~78     11.5~32.2%    94
renko                     AVAX     4h      +88.1R     +0.9R     34%   100%       31~262     17.5~44.7%   317
hma                       XRP      4h      +86.9R    +20.8R     38%   100%     482~2363     14.9~34.7%  3414
supertrend_fast           BNB      4h      +86.8R     +1.8R     38%   100%       28~634     16.3~37.0%   712
supertrend                AVAX     4h      +86.0R     +2.6R     30%   100%       20~236     16.0~37.0%   278
advanced_kline_echo       XRP      4h      +84.7R    +19.6R     40%   100%       65~338     15.0~34.0%   412
ichimoku                  BNB      4h      +83.8R     +0.6R     34%   100%      109~744     15.2~35.0%   868
advanced_kline_echo       ADA      4h      +83.4R     +8.8R     36%   100%       71~332     15.4~39.8%   412
renko                     SOL      1h      +82.8R     +9.7R     42%   100%       91~409     16.8~34.8%   547
proc                      BNB      4h      +81.8R     +7.7R     44%   100%       55~296     15.8~37.2%   385
atr_breakout              SOL      4h      +81.5R     +0.3R     39%   100%       41~209     16.7~40.7%   252
matriple                  ADA      4h      +80.9R    +10.0R     30%   100%       42~290     15.7~49.4%   335
demandindex_long          BNB      4h      +78.2R     +0.7R     31%   100%      143~560      9.4~21.5%   735
macross_slow              ADA      4h      +77.8R    +11.6R     29%   100%       38~326     16.3~40.2%   388
ichimoku                  ADA      4h      +77.8R     +9.8R     34%   100%      129~660     15.4~38.9%   825
keltner                   BNB      4h      +77.2R     +0.4R     38%   100%       14~228     21.8~49.5%   231
vortex                    AVAX     4h      +77.1R     +3.5R     37%   100%      102~960     17.5~39.1%  1135
macross_fast              ADA      4h      +76.9R    +19.2R     30%   100%       91~561     16.8~39.4%   730
atr_breakout_2yi          SOL      4h      +75.6R     +1.6R     43%   100%       43~197     15.1~37.3%   233
donchian_echo             XRP      4h      +75.4R    +32.6R     40%   100%       90~520     20.9~42.7%   548
fvg                       BNB      4h      +74.1R     +5.0R     40%   100%        8~343     15.0~35.9%   346
