慢熊 slow_bear — avg_r > 0 的全部 688 条

    #  策略                        币种             周期    方向     笔数    avg_r     胜率    total_r
  ───  ───────────────────────── ──────────── ──── ───── ────── ──────── ────── ──────────
    1  advancedkline             BNB_COIN       1h     S     31  +0.3076  77.4%      +9.54
    2  advancedkline             SOL            1h     S     31  +0.2719  71.0%      +8.43
    3  ccishort                  BNB_COIN       1h     S     30  +0.2690  80.0%      +8.07
    4  advancedkline             XRP            1h     S     44  +0.2560  72.7%     +11.26
    5  advancedkline             ETH            1h     S     44  +0.2334  72.7%     +10.27
    6  trix                      BNB            1h     L     31  +0.2222  67.7%      +6.89
    7  proc                      BNB            1h     S     37  +0.2165  62.2%      +8.01
    8  ccishort                  ETH            1h     S     40  +0.2147  80.0%      +8.59
    9  vpt                       DOT            1h     S     53  +0.2094  58.5%     +11.10
   10  advancedkline             BNB            1h     S     56  +0.2066  75.0%     +11.57
   11  adx                       AVAX           1h     S     42  +0.2064  57.1%      +8.67
   12  cmo                       ADA           15m     S     31  +0.2002  83.9%      +6.20
   13  advancedkline             ADA            1h     S     51  +0.1945  74.5%      +9.92
   14  demandindexshort          ETH            1h     S     35  +0.1847  68.6%      +6.46
   15  demandindexshort          BTC            1h     S     42  +0.1819  78.6%      +7.64
   16  pivotpoints               ETH            1h     S     96  +0.1789  50.0%     +17.17
   17  cmo                       ADA           15m     L     33  +0.1719  72.7%      +5.67
   18  keltner                   XRP            1h     S     83  +0.1717  43.4%     +14.25
   19  proc                      ADA            1h     S     37  +0.1691  64.9%      +6.26
   20  demandindexshort          BNB            1h     S     39  +0.1669  71.8%      +6.51
   21  accumulationdistribution  ETH            1h     L     41  +0.1661  63.4%      +6.81
   22  cmf                       ETH            1h     L     41  +0.1661  63.4%      +6.81
   23  vpt                       BNB_COIN       1h     S     50  +0.1638  52.0%      +8.19
   24  ccishort                  TRX            1h     S     54  +0.1618  74.1%      +8.74
   25  marsi                     DOT            1h     S     32  +0.1606  75.0%      +5.14
   26  ccishort                  SOL            1h     S     30  +0.1602  76.7%      +4.81
   27  vpt                       AVAX           1h     S     44  +0.1557  47.7%      +6.85
   28  keltner                   ETH            1h     S     70  +0.1479  48.6%     +10.35
   29  keltner                   SOL            1h     S     40  +0.1465  50.0%      +5.86
   30  smc                       ETH            1h     S     97  +0.1463  49.5%     +14.19
   31  adx                       ETH            1h     S     87  +0.1408  46.0%     +12.25
   32  advancedkline             BNB           15m     S     36  +0.1330  83.3%      +4.79
   33  adx                       XRP            1h     S    104  +0.1325  45.2%     +13.78
   34  smc                       AVAX           1h     S     49  +0.1306  55.1%      +6.40
   35  ccishort                  ADA            1h     S     51  +0.1302  72.5%      +6.64
   36  ccishort                  AVAX          15m     S     42  +0.1301  81.0%      +5.46
   37  adx                       ADA            1h     S     74  +0.1275  50.0%      +9.43
   38  marsi                     BTC            1h     L     55  +0.1271  60.0%      +6.99
   39  ccishort                  XRP            1h     S     53  +0.1243  71.7%      +6.59
   40  ccilong                   ETH_COIN      15m     L     45  +0.1241  82.2%      +5.59
   41  atr                       ETH            1h     S    112  +0.1223  45.5%     +13.70
   42  pivotpoints               ETH_COIN       1h     S     57  +0.1179  49.1%      +6.72
   43  proc                      LINK           1h     S     42  +0.1172  54.8%      +4.92
   44  demandindexlong           BTC            1h     L     33  +0.1171  75.8%      +3.86
   45  vpt                       ETH            1h     S     81  +0.1166  40.7%      +9.44
   46  marsi                     XRP            1h     S     63  +0.1164  55.6%      +7.33
   47  accumulationdistribution  ETH_COIN      15m     L     37  +0.1163  81.1%      +4.30
   48  cmf                       ETH_COIN      15m     L     37  +0.1163  81.1%      +4.30
   49  accumulationdistribution  ETH           15m     L     37  +0.1158  81.1%      +4.28
   50  cmf                       ETH           15m     L     37  +0.1158  81.1%      +4.28
   51  ccishort                  DOT           15m     S     50  +0.1150  86.0%      +5.75
   52  advancedkline             LINK           1h     S     45  +0.1113  62.2%      +5.01
   53  pivotpoints               AVAX           1h     S     53  +0.1112  49.1%      +5.89
   54  pivotpoints               ADA            1h     S     88  +0.1111  51.1%      +9.78
   55  accumulationdistribution  XRP            1h     L     51  +0.1108  66.7%      +5.65
   56  cmf                       XRP            1h     L     51  +0.1108  66.7%      +5.65
   57  demandindexshort          XRP            1h     S     53  +0.1103  67.9%      +5.84
   58  demandindexlong           XRP            1h     L     40  +0.1083  65.0%      +4.33
   59  ulcer                     ETH            1h     S    103  +0.1079  44.7%     +11.12
   60  adx                       ETH_COIN       1h     L     50  +0.1072  38.0%      +5.36
   61  smc                       ETH_COIN       1h     S     60  +0.1065  50.0%      +6.39
   62  adx                       DOT            1h     S     56  +0.1056  42.9%      +5.91
   63  adx                       BTC_COIN       1h     S     62  +0.1053  43.5%      +6.53
   64  keltner                   AVAX           1h     S     38  +0.1044  50.0%      +3.97
   65  marsi                     ETH_COIN       1h     S     34  +0.1044  70.6%      +3.55
   66  smc                       XRP            1h     S    133  +0.1043  45.1%     +13.88
   67  smc                       ADA            1h     S     88  +0.1034  47.7%      +9.10
   68  cmo                       ETH           15m     S     34  +0.1024  64.7%      +3.48
   69  advancedkline             DOT           15m     S     49  +0.1017  83.7%      +4.98
   70  atr                       ETH_COIN       1h     S     70  +0.1016  47.1%      +7.11
   71  ccilong                   LINK           1h     L     39  +0.1008  66.7%      +3.93
   72  vpt                       ETH_COIN       1h     L     37  +0.1006  48.6%      +3.72
   73  vpt                       ETH_COIN       1h     S     46  +0.1000  47.8%      +4.60
   74  demandindexlong           AVAX          15m     L     40  +0.0994  77.5%      +3.98
   75  marsi                     AVAX           1h     L     31  +0.0990  58.1%      +3.07
   76  adx                       ETH_COIN       1h     S     54  +0.0984  44.4%      +5.31
   77  keltner                   BTC_COIN       1h     S     64  +0.0965  50.0%      +6.17
   78  donchian                  AVAX           1h     S     38  +0.0959  52.6%      +3.64
